time,lat,lon,sst
2023-01-11,25.625,123.125,24.92
2023-01-11,25.625,123.375,24.66
2023-01-11,25.625,123.625,24.43
2023-01-11,25.625,123.875,24.22
2023-01-11,25.875,122.125,23.41
2023-01-11,25.875,122.375,24.34
2023-01-11,25.875,122.625,24.91
2023-01-11,25.875,122.875,25.09
2023-01-11,25.875,123.125,25.029999
2023-01-11,25.875,123.375,24.83
2023-01-11,25.875,123.625,24.57
2023-01-11,25.875,123.875,24.34
2023-01-11,26.125,122.125,23.18
2023-01-11,26.125,122.375,23.85
2023-01-11,26.125,122.625,24.369999
2023-01-11,26.125,122.875,24.64
2023-01-11,26.125,123.125,24.63
2023-01-11,26.125,123.375,24.529999
2023-01-11,26.125,123.625,24.3
2023-01-11,26.125,123.875,24.039999
2023-01-11,26.375,122.125,22.56
2023-01-11,26.375,122.375,23.05
2023-01-11,26.375,122.625,23.38
2023-01-11,26.375,122.875,23.67
2023-01-11,26.375,123.125,23.74
2023-01-11,26.375,123.375,23.699999
2023-01-11,26.375,123.625,23.539999
2023-01-11,26.375,123.875,23.269999
2023-01-11,26.625,122.125,21.93
2023-01-11,26.625,122.375,22.23
2023-01-11,26.625,122.625,22.33
2023-01-11,26.625,122.875,22.5
2023-01-11,26.625,123.125,22.57
2023-01-11,26.625,123.375,22.59
2023-01-11,26.625,123.625,22.47
2023-01-11,26.625,123.875,22.279999
2023-01-11,26.875,122.125,21.52
2023-01-11,26.875,122.375,21.67
2023-01-11,26.875,122.625,21.55
2023-01-11,26.875,122.875,21.42
2023-01-11,26.875,123.125,21.5
2023-01-11,26.875,123.375,21.59
2023-01-11,26.875,123.625,21.529999
2023-01-11,26.875,123.875,21.46
2023-01-12,25.125,122.125,23.539999
2023-01-12,25.125,122.375,24.65
2023-01-12,25.125,122.625,25.25
2023-01-12,25.125,122.875,25.119999
2023-01-12,25.125,123.125,24.689999
2023-01-12,25.125,123.375,24.269999
2023-01-12,25.125,123.625,23.93
2023-01-12,25.125,123.875,23.699999
2023-01-12,25.375,122.125,23.09
2023-01-12,25.375,122.375,24.369999
2023-01-12,25.375,122.625,25.13
2023-01-12,25.375,122.875,25.199999
2023-01-12,25.375,123.125,24.9
2023-01-12,25.375,123.375,24.539999
2023-01-12,25.375,123.625,24.25
2023-01-12,25.375,123.875,24.039999
2023-01-12,25.625,122.125,23.189999
2023-01-12,25.625,122.375,24.4
2023-01-12,25.625,122.625,25.109999
